NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
184020301,20301,Alvito,1999,45,170,30,36,86,58,22,7,111,67,40,4,3639380.0,375.7
184020301,20301,Alvito,2009,57,162,34,38,61,42,12,7,105,91,11,3,6834397.0,524.0
184020301,20301,Alvito,2019,17,147,42,57,55,36,13,6,117,66,17,34,13501802.0,1165.6
184020302,20302,Vila Nova da Baronia,1999,78,157,20,12,91,63,20,8,48,38,9,1,2458798.0,414.7
184020302,20302,Vila Nova da Baronia,2009,49,132,27,28,68,46,14,8,53,37,14,3,4079277.0,411.1
184020302,20302,Vila Nova da Baronia,2019,25,123,47,40,50,32,15,4,41,34,4,3,5136180.0,599.0
184020401,20401,Barrancos,1999,212,361,86,35,78,64,9,6,31,17,14,0,3835448.0,276.1
184020401,20401,Barrancos,2009,91,298,51,30,87,58,22,7,49,41,8,0,3923101.0,308.3
184020401,20401,Barrancos,2019,35,241,92,37,73,54,16,3,86,60,21,5,5456545.0,389.5
184020502,20502,BaleizÃ£o,1999,54,114,28,22,49,35,7,7,106,85,17,4,4864855.0,371.7
184020502,20502,BaleizÃ£o,2009,22,62,14,26,22,19,3,1,433,105,19,309,6068672.0,465.3
184020502,20502,BaleizÃ£o,2019,13,45,14,23,35,25,5,4,376,200,86,90,20679587.0,1360.9
184020503,20503,Beringel,1999,40,79,14,23,33,28,2,3,23,17,5,1,777745.0,321.1
184020503,20503,Beringel,2009,17,39,10,15,28,18,6,4,10,9,1,0,432380.0,252.9
184020503,20503,Beringel,2019,13,64,11,12,29,15,8,6,10,3,1,7,742902.0,724.1
184020504,20504,CabeÃ§a Gorda,1999,65,185,28,19,68,49,9,10,49,28,19,2,2354179.0,355.9
184020504,20504,CabeÃ§a Gorda,2009,38,117,24,18,42,36,4,3,44,22,7,15,5685105.0,858.5
184020504,20504,CabeÃ§a Gorda,2019,11,85,29,23,38,24,8,6,82,33,3,46,4939938.0,782.8
184020506,20506,Nossa Senhora das Neves,1999,93,236,45,33,116,72,22,23,45,37,7,2,2461900.0,489.9
184020506,20506,Nossa Senhora das Neves,2009,47,180,30,41,69,55,11,3,48,31,16,2,2893511.0,585.5
184020506,20506,Nossa Senhora das Neves,2019,32,137,42,48,70,45,15,10,194,53,74,66,7594074.0,1696.3
184020510,20510,Santa Clara de Louredo,1999,15,38,7,15,23,19,2,3,50,40,7,3,1640297.0,298.4
184020510,20510,Santa Clara de Louredo,2009,6,38,11,11,15,10,5,1,81,35,44,2,2376402.0,491.6
184020510,20510,Santa Clara de Louredo,2019,3,27,10,16,15,10,4,2,127,57,15,56,9423051.0,1722.2
184020516,20516,SÃ£o Matias,1999,48,134,13,11,38,31,3,4,44,34,8,2,1470816.0,312.6
184020516,20516,SÃ£o Matias,2009,14,104,28,10,35,22,6,7,47,29,7,11,3186210.0,327.9
184020516,20516,SÃ£o Matias,2019,2,40,16,14,21,16,4,0,240,64,173,3,10712689.0,983.1
184020519,20519,UniÃ£o das freguesias de Albernoa e Trindade,1999,53,138,21,20,69,54,9,6,107,92,12,3,4832969.0,308.0
184020519,20519,UniÃ£o das freguesias de Albernoa e Trindade,2009,28,138,47,25,72,52,9,11,139,96,39,4,9066328.0,488.3
184020519,20519,UniÃ£o das freguesias de Albernoa e Trindade,2019,14,117,41,38,61,50,6,4,307,217,57,33,15857162.0,655.7
184020520,20520,UniÃ£o das freguesias de Beja (Salvador e Santa Maria da Feira),1999,81,125,19,27,68,45,11,13,74,59,13,1,2369533.0,870.7
184020520,20520,UniÃ£o das freguesias de Beja (Salvador e Santa Maria da Feira),2009,33,143,26,36,77,45,24,8,31,21,8,2,1545765.0,1158.8
184020520,20520,UniÃ£o das freguesias de Beja (Salvador e Santa Maria da Feira),2019,37,127,52,59,54,36,11,6,59,36,17,7,4626613.0,1896.2
184020521,20521,UniÃ£o das freguesias de Beja (Santiago Maior e SÃ£o JoÃ£o Baptista),1999,34,128,15,39,45,33,9,3,54,47,6,1,1754107.0,460.6
184020521,20521,UniÃ£o das freguesias de Beja (Santiago Maior e SÃ£o JoÃ£o Baptista),2009,29,110,30,27,47,30,11,6,49,29,9,10,2009713.0,550.2
184020521,20521,UniÃ£o das freguesias de Beja (Santiago Maior e SÃ£o JoÃ£o Baptista),2019,7,95,28,40,48,31,11,5,98,70,4,24,7963915.0,1251.8
184020522,20522,UniÃ£o das freguesias de Salvada e Quintos,1999,131,262,52,49,108,85,11,12,119,81,33,5,4900947.0,370.0
184020522,20522,UniÃ£o das freguesias de Salvada e Quintos,2009,81,201,48,47,80,72,6,2,145,87,45,13,9288787.0,522.8
184020522,20522,UniÃ£o das freguesias de Salvada e Quintos,2019,41,155,69,72,75,52,15,8,176,114,8,53,12562194.0,829.8
184020523,20523,UniÃ£o das freguesias de Santa VitÃ³ria e Mombeja,1999,114,251,43,29,116,92,10,14,120,89,28,3,4355325.0,318.3
184020523,20523,UniÃ£o das freguesias de Santa VitÃ³ria e Mombeja,2009,60,178,36,38,84,64,9,11,107,66,35,7,12386505.0,1121.4
184020523,20523,UniÃ£o das freguesias de Santa VitÃ³ria e Mombeja,2019,39,145,43,45,79,46,19,15,218,133,15,70,20121727.0,1391.1
184020524,20524,UniÃ£o das freguesias de Trigaches e SÃ£o Brissos,1999,98,140,18,15,57,44,8,5,40,31,8,1,1329250.0,312.1
184020524,20524,UniÃ£o das freguesias de Trigaches e SÃ£o Brissos,2009,44,109,24,31,56,33,13,10,67,48,17,2,2061595.0,562.7
184020524,20524,UniÃ£o das freguesias de Trigaches e SÃ£o Brissos,2019,24,70,35,42,33,26,5,3,77,43,5,30,4939012.0,1031.2
184020603,20603,Entradas,1999,26,76,12,6,31,21,5,5,22,17,4,1,1691025.0,276.5
184020603,20603,Entradas,2009,13,67,16,14,27,20,4,4,15,12,2,1,2092989.0,375.2
184020603,20603,Entradas,2019,15,71,20,17,31,24,4,4,35,25,5,4,3098340.0,408.1
184020604,20604,Santa BÃ¡rbara de PadrÃµes,1999,20,60,6,4,31,22,5,3,5,3,2,0,774589.0,272.0
184020604,20604,Santa BÃ¡rbara de PadrÃµes,2009,13,54,5,15,34,25,7,2,13,12,1,1,1186112.0,294.6
184020604,20604,Santa BÃ¡rbara de PadrÃµes,2019,13,68,15,18,34,22,8,4,20,16,3,1,1980709.0,452.9
184020605,20605,SÃ£o Marcos da Ataboeira,1999,10,56,10,3,30,18,6,6,30,21,8,1,3250463.0,358.1
184020605,20605,SÃ£o Marcos da Ataboeira,2009,7,46,13,8,30,22,7,2,30,27,2,1,2878345.0,270.2
184020605,20605,SÃ£o Marcos da Ataboeira,2019,3,54,15,14,23,15,3,5,26,21,4,2,3512984.0,391.8
184020606,20606,UniÃ£o das freguesias de Castro Verde e CasÃ©vel,1999,113,300,56,24,170,108,35,27,131,119,9,4,7953448.0,268.1
184020606,20606,UniÃ£o das freguesias de Castro Verde e CasÃ©vel,2009,66,274,49,64,155,98,42,15,110,89,17,4,9530862.0,312.7
184020606,20606,UniÃ£o das freguesias de Castro Verde e CasÃ©vel,2019,44,293,93,87,226,125,60,41,137,110,18,9,12504660.0,410.1
184020701,20701,Cuba,1999,152,311,52,26,79,63,8,8,101,51,47,3,5766425.0,712.8
184020701,20701,Cuba,2009,66,290,75,63,80,46,13,21,122,84,37,2,7067665.0,833.6
184020701,20701,Cuba,2019,24,145,55,53,83,62,18,4,133,99,30,4,11621867.0,1461.1
184020702,20702,Faro do Alentejo,1999,34,64,10,10,39,22,14,3,48,45,1,2,4158270.0,2266.9
184020702,20702,Faro do Alentejo,2009,16,60,4,17,15,11,1,3,33,20,3,9,1665573.0,1012.2
184020702,20702,Faro do Alentejo,2019,9,27,6,14,8,6,1,0,47,12,17,19,1797084.0,645.5
184020703,20703,Vila Alva,1999,102,142,23,13,64,48,12,4,39,7,31,0,1320405.0,621.1
184020703,20703,Vila Alva,2009,36,140,27,24,48,32,11,6,41,25,14,2,2175556.0,680.4
184020703,20703,Vila Alva,2019,18,118,48,50,50,33,14,3,46,36,9,1,1797733.0,723.0
184020704,20704,Vila Ruiva,1999,84,89,15,5,41,32,7,3,14,5,9,1,700219.0,508.4
184020704,20704,Vila Ruiva,2009,43,114,14,15,25,18,2,5,18,9,8,1,648356.0,524.2
184020704,20704,Vila Ruiva,2019,8,70,20,16,44,34,8,2,23,9,12,2,970896.0,1205.8
184020803,20803,Figueira dos Cavaleiros,1999,110,237,42,19,128,92,24,12,107,48,54,6,7109238.0,596.4
184020803,20803,Figueira dos Cavaleiros,2009,47,143,38,23,87,59,18,10,256,99,106,52,9712334.0,635.7
184020803,20803,Figueira dos Cavaleiros,2019,15,92,35,29,43,32,9,2,253,120,78,55,13329550.0,867.5
184020804,20804,Odivelas,1999,22,56,7,6,29,21,6,1,25,13,8,4,2416708.0,426.3
184020804,20804,Odivelas,2009,10,51,7,7,21,16,4,1,110,47,57,6,4345223.0,599.2
184020804,20804,Odivelas,2019,9,37,13,16,22,17,2,2,192,58,100,34,10105515.0,1211.3
184020807,20807,UniÃ£o das freguesias de AlfundÃ£o e Peroguarda,1999,42,173,31,24,53,32,11,9,86,38,46,3,4204436.0,601.3
184020807,20807,UniÃ£o das freguesias de AlfundÃ£o e Peroguarda,2009,21,117,35,40,55,40,12,3,646,258,193,195,7440496.0,968.0
184020807,20807,UniÃ£o das freguesias de AlfundÃ£o e Peroguarda,2019,26,96,31,42,22,19,3,1,561,260,222,80,11388292.0,1574.0
